Feature,Importance
worst area,0.14308985609305827
worst concave points,0.13105868506171217
worst radius,0.1007503700536656
mean concave points,0.09218470646758213
mean perimeter,0.07431859628003233
mean radius,0.07030618932025337
worst perimeter,0.07008086818098783
mean concavity,0.057274098321398625
mean area,0.049341561239888795
worst concavity,0.033558351089849815
area error,0.031953646720866556
worst texture,0.018297578391224575
worst compactness,0.017476215978329407
radius error,0.01722466398456028
mean compactness,0.011663984082325014
mean texture,0.010419731342646026
worst smoothness,0.010228759216698585
perimeter error,0.009556303227294081
worst symmetry,0.00944127890796611
mean smoothness,0.005717940935048293
worst fractal dimension,0.005661889133655656
compactness error,0.005092815413590258
texture error,0.004781178728021838
concave points error,0.003979602670994801
fractal dimension error,0.0036107251692460342
mean fractal dimension,0.0030946783156107173
smoothness error,0.003008542352886173
concavity error,0.0025143386209559465
mean symmetry,0.0024435187896210005
symmetry error,0.0018693259100297551
